LOGNAME,1823514,0007/0001.csv
GYRS,3273327,100000000
ACC,3276823,72712,-220576,984784
MSG,3276866,Gyroscope not ready
GYRS,3276884,100000000
ACC,3280373,75152,-216672,987712
MSG,3280415,Gyroscope not ready
GYRS,3280419,100000000
ACC,3283921,75152,-221552,987712
MSG,3283963,Gyroscope not ready
GYRS,3283967,100000000
ACC,3287512,77104,-224480,978928
MSG,3287554,Gyroscope not ready
GYRS,3287559,100000000
ACC,3291057,81984,-219600,986248
MSG,3291098,Gyroscope not ready
GYRS,3291103,100000000
ACC,3294605,80032,-216672,988200
MSG,3294646,Gyroscope not ready
GYRS,3294651,100000000
ACC,3298153,73688,-215696,982344
MSG,3298209,Gyroscope not ready
GYRS,3298213,100000000
ACC,3301744,76128,-215696,982344
MSG,3301786,Gyroscope not ready
GYRS,3301790,100000000
ACC,3305292,75152,-216672,982344
